"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" is not available in the requested quantity. %s of the items will be backordered."
"%s is available for purchase in increments of %s only.","%s is available for purchase in increments of %s only."
"%s is not a correct comparsion method.","%s is not a correct comparsion method."
"%s is not correct comparsion method.","%s metode comparsion tidak benar."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<Strong> Perhatikan </ strong>, bahwa Pengaturan ini berlaku untuk produk keranjang tidak seluruh Cart."
"Add Minimum Qty","Tambah Minimum Qty"
"Allow Qty Below 0","Biarkan Qty bawah 0"
"Allow Qty Below 0 and Notify Customer","Biarkan Qty bawah 0 dan Beritahu Pelanggan"
"Automatically Return Credit Memo Item to Stock","Automatically Return Penyesuaian Faktur Item to Stock"
"Backorders","Backorders"
"By Fixed value","Dengan nilai Tetap"
"By Percentage","Dengan Persentase"
"Can not specify product identifier for order item","Tidak bisa menentukan identifier produk untuk item pesanan"
"Cannot specify product identifier for the order item.","Cannot specify product identifier for the order item."
"Catalog Inventory","Katalog Persediaan"
"Decrease Stock When Order is Placed","Penurunan Bursa Ketika Order Ditempatkan"
"Display Out of Stock Products","Display Out of Stock Products"
"Display products availability in stock in the frontend","Display products availability in stock in the frontend"
"Enable Qty Increments","Enable Qty Increments"
"In Stock","Tersedia"
"Index Product Stock Status","Index Product Stock Status"
"Inventory","Inventaris"
"Inventory API","Persediaan API"
"Inventory Section","Persediaan Bagian"
"Manage Stock","Mengelola Stock"
"Maximum Qty Allowed in Shopping Cart","Maksimum Jumlah Diizinkan Troli Belanja"
"Minimum Qty","Minimum Qty"
"Minimum Qty Allowed in Shopping Cart","Minimum Jumlah Diizinkan Troli Belanja"
"Multi update product stock data","Multi update product stock data"
"No Backorders","Tidak ada backorders"
"Not all products are available in the requested quantity","Not all products are available in the requested quantity"
"Notify for Quantity Below","Beritahu untuk Quantity bawah"
"Only %s left","Only %s left"
"Only X left Threshold","Only X left Threshold"
"Out of Stock","Stok Habis"
"Product Name","Nama produk"
"Product Stock Options","Stok Produk Pilihan"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Qty","Qty"
"Qty Increments","Qty Increments"
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"Qty for Items' Status to become Out of Stock","Jumlah untuk Status Produk untuk menjadi Habis"
"Retrieve stock data","Mengambil data saham"
"Retrieve stock data by product ids","Mengambil data saham oleh id produk"
"Rule price","Harga aturan"
"Set Items' Status to be In Stock When Order is Cancelled","Status Produk Set 'menjadi Stok Ketika Order Dibatalkan"
"Some of the products are currently out of stock","Beberapa produk yang saat ini keluar dari saham"
"Some of the products are currently out of stock.","Some of the products are currently out of stock."
"Some of the products are not available","Some of the products are not available"
"Some of the products can not be ordered in requested quantity","Beberapa produk tidak dapat dipesan dalam jumlah yang diminta"
"Some of the products cannot be ordered in requested quantity.","Some of the products cannot be ordered in requested quantity."
"Some of the products cannot be ordered in the requested quantity","Beberapa produk tidak dapat dipesan dalam jumlah yang diminta"
"Some of the products cannot be ordered in the requested quantity.","Some of the products cannot be ordered in the requested quantity."
"Stock Options","Pilihan Persediaan"
"Stock Status","Stock Status"
"Stock item for Product in option is not valid","Stok barang untuk produk dalam pilihan tidak valid"
"Stock item for Product is not valid","Stok barang untuk Produk tidak valid"
"The maximum quantity allowed for purchase is %s.","Jumlah maksimal yang diperbolehkan untuk pembelian %s."
"The minimum quantity allowed for purchase is %s.","Jumlah minimum yang diperbolehkan untuk pembelian %s."
"The requested quantity for ""%s"" is not available.","Kuantitas diminta untuk ""%s"" tidak tersedia."
"The requested quantity is not available.","Kuantitas yang diminta tidak tersedia."
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is available for purchase in increments of %s only.","This product is available for purchase in increments of %s only."
"This product is currently out of stock.","Produk ini saat ini keluar dari saham."
"This product is not available in the requested quantity. %s of the items will be backordered.","This product is not available in the requested quantity. %s of the items will be backordered."
"To Fixed Value","Untuk Nilai Tetap"
"To Percentage","Untuk Persentase"
"Undefined product type.","Undefined product type."
"Update","Memperbarui"
"Update product stock data","Perbarui data stok produk"
"Update the Product","Memperbarui Produk"
