"ALL","SEMUA"
"ANY","APAPUN"
"Add","Tambah"
"Apply","Berlaku"
"Conditions Combination","kondisi Kombinasi"
"Customer Groups must be specified.","Grup pelanggan harus ditentukan."
"End Date must be greater than Start Date.","Tanggal akhir harus lebih besar dari Tanggal Mulai."
"FALSE","SALAH"
"If %s of these conditions are %s:","Jika%s dari kondisi ini adalah%s:"
"Invalid discount amount.","Jumlah diskon valid."
"Open Chooser","terbuka Chooser"
"Perform following actions","Lakukan tindakan berikut"
"Please choose a condition to add...","Silakan pilih kondisi untuk menambahkan ..."
"Please choose an action to add...","Silakan pilih tindakan untuk menambah ..."
"Remove","menghapus"
"TRUE","BENAR"
"There is no information about associated entity type ""%s"".","Tidak ada informasi tentang terkait jenis entitas ""%s""."
"Websites must be specified.","Website harus ditentukan."
"by","oleh"
"contains","mengandung"
"does not contain","tidak mengandung"
"does not contains","does not contains"
"equals or greater than","sama dengan atau lebih besar dari"
"equals or less than","sama dengan atau kurang dari"
"for","for"
"for greater than","for greater than"
"for or greater than","for or greater than"
"found","found"
"from","from"
"greater than","lebih besar dari"
"is","aku s"
"is not","tidak"
"is not one of","bukan salah satu dari"
"is one of","adalah salah satu"
"less than","kurang dari"
"not found","not found"
"not from","not from"
"to","untuk"
"was","was"
"was not","was not"
